,word,lemma
0,'рбет,'рбет
1,'рбетот,'рбет
2,'рбетната,'рбетен
3,'рбетните,'рбетен
4,'Ртот,'рт
5,'рѓата,'рѓа
6,'рѓосана,'рѓосан
7,100,100
8,101,101
9,14.2.84,14.2.84
10,17.3.84,17.3.84
11,19.12.83,19.12.83
12,1900-тата,1900-ти
13,1914,1914
14,1920,1920
15,1925,1925
16,1930-тата,1930-ти
17,1940,1940
18,1944,1944
19,1945,1945
20,1960,1960
21,1965,1965
22,1968,1968
23,1970,1970
24,1973,1973
25,1983,1983
26,1984,1984
27,2,2
28,20,20
29,2050,2050
30,2050-та,2050-ти
31,2050-тата,2050-ти
32,23,23
33,27,27
34,2713,2713
35,3,3
36,3.12.83,3.12.83
37,4,4
38,5,5
39,57,57
40,6079,6079
41,83,83
42,85,85
43,99,99
44,de,de
45,force,force
46,frаncа,frаncа
47,I,i
48,III,iii
49,jus,jus
50,linguа,linguа
51,noctis,noctis
52,primае,primае
53,tours,tours
54,Јава,Јава
55,Јапонија,Јапонија
56,Јехова,Јехова
57,Јеховините,Јеховини
58,Јужноамериканци,Јужноамероканец
59,Јулие,Јулие
60,Њујорк,Њујорк
61,Џеферсон,Џеферсон
62,Џонс,Џонс
63,Џули,Џули
64,Џулииното,Џулиин
65,Џулија,Џулија
66,А,А
67,Австралазија,Австралазија
68,Агитпроп,Агитпроп
69,Адамово,Адамов
70,Азија,Азија
71,Америки,Америка
72,Америка,Америка
73,Англија,Англија
74,Ангсоцот,Ангсоц
75,Ангсоц,Ангсоц
76,Антарктикот,Антарктик
77,Аргентина,Аргентина
78,Аренсон,Аренсон
79,Аронсон,Аронсон
80,Атлантикот,Атлантик
81,Африка,Африка
82,Аштарот,Аштар
83,Ајд,Ајд
84,Б,Б
85,Баал,Баал
86,Бамстед,Бамстед
87,Бајрон,Бајрон
88,Беринговиот,Берингов
89,Берлин,Берлин
90,Берхамстед,Берхамстед
91,Бејли,Бејли
92,Бразавил,Бразавил
93,Бразил,Бразил
94,Британија,Британија
95,В.,В.
96,Видерс,Видерс
97,Викс,Викс
98,Викторија,Викторија
99,Вилшер,Вилшер
100,Винстоне,Винстон
101,Винстон,Винстон
102,Винстоновото,Винстонов
103,Винстоновите,Винстонов
104,Винстонови,Винстонов
105,Винстоновата,Винстонов
106,Винстоновиот,Винстонов
107,Висла,Висла
108,Г,Г
109,Г-Б,Г-Б
110,Г.Б,Г.Б
111,ГБ,ГБ
112,Германија,Германија
113,Гестапо,Гестапо
114,Голдштајн,Голдштајн
115,Голдштајнизмот,Голдштајнизам
116,Голдштајновата,Голдштајнов
117,Голдштајнови,Голдштајнов
118,Голдштајновото,Голдштајнов
119,Дарвин,Дарвин
120,Дикенс,Дикенс
121,Докод,Докод
122,друг,Друг
123,Евразија,Евразија
124,Евреи,Евреин
125,Еврејка,Еврејка
126,Европа,Европа
127,Египет,Египет
128,Еден,Еден
129,Екваторот,Екватор
130,Емануел,Емануел
131,Емплфорт,Емплфорт
132,Ејмершам,Ејмершам
133,Иванден,Иванден
134,Индија,Индија
135,Индуси,Индус
136,Инпрекор,Инпрекор
137,Исланд,Исланд
138,Истазија,Истазија
139,Канада,Канада
140,Карл,Карл
141,Кент,Кент
142,Кетрин,Кетрин
143,Кина,Кина
144,Киплинговите,Киплингов
145,Клемент,Клемент
146,Колчестер,Колчестер
147,Коминтерна,Коминтерна
148,Конго,Конго
149,Кромвел,Кромвел
150,Леополдвил,Леополдвил
151,Лондон,Лондон
152,Малабарскиот,Малабарски
153,Манџурија,Манџурија
154,Маркс,Маркс
155,Мартин,Мартин
156,Мартине,Мартин
157,Мартиновото,Мартинов
158,Медитеранот,Медитеран
159,Милтон,Милтон
160,Минивис,Минивис
161,Минизоб,Минизоб
162,Минимир,Минимир
163,Миниљуб,Миниљуб
164,Миспол,Миспол
165,Молох,Молох
166,Монголија,Монголија
167,Наци,Наци
168,Новоговорот,Новоговор
169,Новоговор,Новоговор
170,О'Брајан,О'Брајан
171,О'Брајане,О'Брајан
172,О'Брајановото,О'Брајанов
173,О'Брајановиот,О'Брајанов
174,О'Брајановата,О'Брајанов
175,ОК,ОК
176,Огилви,Огилви
177,Озирис,Озирис
178,Океанијо,Океанија
179,Океанија,Океанија
180,Олд,Олд
181,Оливер,Оливер
182,ПТЦЦ,ПТЦЦ
183,Панкрас,Панкрас
184,Париз,Париз
185,Парсонс,Парсонс
186,Парсонсови,Парсонсови
187,Пацификот,Пацифик
188,Пацификот,Пацификот
189,Педингтон,Педингтон
190,Персија,Персија
191,Победа,Победа
192,Поправни,Поправен
193,Порносек,Порносек
194,Португалија,Португалија
195,Прозод,Прозод
196,Радерфорд,Радерфорд
197,Рајна,Рајна
198,Робин,Робин
199,Русите,Русин
200,Русија,Русија
201,Сајм,Сајм
202,Сајмовата,Сајмов
203,Св.,Св.
204,Свифт,Свифт
205,Себастијан,Себастијан
206,Сибир,Сибир
207,Смит,Смит
208,Староговор,Староговор
209,Староговорот,Староговор
210,Степни,Степни
211,Тангер,Тангер
212,Тајмс,Тајмс
213,Телод,Телод
214,Тибет,Тибет
215,Тилотсон,Тилотсон
216,Том,Том
217,Франција,Франција
218,Х.,Х.
219,Хебреец,Хебреец
220,Хонгконг,Хонгконг
221,Ц,Ц
222,Цезар,Цезар
223,Цејлон,Цејлон
224,Черингтон,Черингтон
225,Чосер,Чосер
226,Шарлемањ,Шарлемањ
227,Шафтсбери,Шафтсбери
228,Шекспир,Шекспир
229,Шоредич,Шоредич
230,Шпионите,Шпиони
231,а,а
232,А,а
233,август,август
234,авенијата,авенија
235,авионите,авион
236,авион,авион
237,авионот,авион
238,авиони,авион
239,австралиската,австралиски
240,автентично,автентичен
241,авто-хипноза,авто-хипноза
242,автобус,автобус
243,автобуската,автобуски
244,автомати,автомат
245,автоматот,автомат
246,автомат,автомат
247,автоматска,автоматски
248,автоматски,автоматски
249,автоматската,автоматски
250,автомобил,автомобил
251,автомобили,автомобил
252,Авторите,автор
253,автор,автор
254,авторитарни,авторитарен
255,авторитет,авторитет
256,агенти,агент
257,агент,агент
258,агентите,агент
259,агол,агол
260,агли,агол
261,аголот,агол
262,аглите,агол
263,агонија,агонија
